method,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
M1 frangi,9.58,31.44,-984.04,0.7642,0.2785,-0.5818,2.147
M1 frangi,19.75,34.57,-994.44,-0.8152,-0.507,-0.28,1.174
M1 frangi,10.36,28.31,-1019.24,-0.3517,0.7166,0.6023,
M2 band_connect,8.02,31.44,-988.84,-0.804,0.2016,0.5595,1.212
M2 band_connect,21.31,35.35,-995.24,-0.8234,-0.4772,-0.3072,1.225
M2 band_connect,22.09,29.1,-1030.44,0.7797,0.1636,0.6044,
M2 band_connect,16.62,39.26,-1053.64,0.7047,0.7034,0.0925,
M2 band_connect,20.53,35.35,-976.84,-0.1524,0.0846,0.9847,0.678
M2 band_connect,18.96,28.31,-1013.64,0.1351,0.0052,0.9908,0.705
M2 band_connect,11.93,35.35,-1035.24,0.1816,0.2323,0.9555,0.782
M2 band_connect,20.53,35.35,-959.24,-0.1714,-0.0287,0.9848,0.782
M3 expansion,8.02,31.44,-988.84,-0.7961,0.2081,0.5682,1.113
M3 expansion,22.09,35.35,-994.44,-0.786,-0.4473,-0.4267,0.749
M3 expansion,22.09,29.1,-1030.44,-0.7668,-0.5807,0.2736,0.96
M3 expansion,16.62,39.26,-1053.64,-0.4585,-0.3585,0.8132,0.959
M3 expansion,21.31,34.57,-972.84,0.2117,-0.2728,-0.9385,0.782
M3 expansion,20.53,35.35,-959.24,-0.2988,-0.187,0.9358,0.174
M3 expansion,18.96,28.31,-1013.64,0.112,-0.0055,0.9937,0.666
M3 expansion,11.14,35.35,-1039.24,0.1105,0.2186,0.9695,0.67
M3 expansion,11.14,36.13,-1052.04,-0.0584,0.0584,0.9966,0.733
M4 wall_flux,19.75,35.35,-996.04,,,,
M4 wall_flux,9.58,30.66,-988.04,,,,
M4 wall_flux,15.05,30.66,-976.84,,,,
M4 wall_flux,15.84,32.22,-958.44,,,,
M6 oof,18.18,31.44,-972.04,0.2098,0.5783,-0.7884,0.349
M6 oof,10.36,30.66,-983.24,0.6721,0.2763,-0.687,1.29
M6 oof,20.53,34.57,-994.44,-0.8222,-0.4746,-0.3141,1.521
M6 oof,19.75,28.31,-1031.24,-0.7619,-0.5832,0.2817,1.022
M8 consensus,8.8,31.44,-986.44,,,,
M8 consensus,20.53,35.35,-995.24,,,,
M8 consensus,18.18,32.22,-973.64,,,,
M8 consensus,18.96,34.57,-959.24,,,,
M8 consensus,21.31,29.1,-1030.44,,,,
