method,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
M1 frangi,19.18,-167.32,416.0,-0.1766,0.5543,-0.8134,1.997
M1 frangi,37.18,-159.82,404.0,-0.8944,0.0,-0.4472,
M1 frangi,14.68,-159.82,402.5,0.6079,0.1011,-0.7875,2.007
M1 frangi,34.18,-147.82,386.0,,,,
M2 band_connect,20.68,-168.82,413.0,-0.2357,0.4913,-0.8385,1.999
M2 band_connect,14.68,-159.82,401.0,0.4895,0.0812,-0.8682,2.072
M2 band_connect,29.68,-165.82,335.0,0.0,0.0,1.0,
M2 band_connect,37.18,-153.82,407.0,,,,
M3 expansion,25.18,-150.82,366.5,-0.8814,-0.4658,0.0785,0.711
M3 expansion,20.68,-168.82,413.0,-0.2253,0.488,-0.8433,2.023
M3 expansion,38.68,-153.82,407.0,-0.8121,-0.2979,0.5017,2.174
M3 expansion,14.68,-159.82,401.0,0.4929,0.1233,-0.8613,2.128
M3 expansion,29.68,-165.82,335.0,0.2798,-0.526,-0.8032,1.686
M3 expansion,28.18,-149.32,372.5,0.2554,-0.0574,0.9651,1.303
M3 expansion,20.68,-155.32,350.0,0.0,0.0,1.0,1.333
M3 expansion,22.18,-155.32,359.0,-0.3442,-0.3442,0.8735,1.5
M3 expansion,31.18,-144.82,396.5,-0.2255,-0.1128,0.9677,
M3 expansion,10.18,-162.82,410.0,,,,
M4 wall_flux,26.68,-167.32,369.5,,,,
M5 escape,20.68,-168.82,413.0,-0.1335,0.2451,-0.9603,2.968
M5 escape,25.18,-150.82,377.0,-0.0746,-0.0408,-0.9964,2.101
M5 escape,29.68,-165.82,335.0,0.3619,-0.7114,-0.6024,1.908
M5 escape,14.68,-158.32,399.5,0.9864,-0.0586,-0.1537,2.919
M5 escape,38.68,-153.82,407.0,-0.8289,-0.2385,0.506,2.336
M5 escape,32.68,-161.32,341.0,-0.2771,-0.5118,0.8132,1.735
M5 escape,20.68,-153.82,351.5,-0.4776,-0.2204,0.8505,2.038
M5 escape,35.68,-161.32,410.0,0.736,0.0667,0.6737,1.772
M5 escape,31.18,-146.32,410.0,0.3952,0.3241,0.8595,1.82
M5 escape,13.18,-156.82,342.5,0.0,0.7071,0.7071,1.545
M5 escape,10.18,-162.82,408.5,-0.686,0.5145,0.5145,1.295
M5 escape,31.18,-144.82,396.5,0.0,0.0,1.0,
M5 escape,38.68,-147.82,393.5,0.0,0.0,1.0,
M5 escape,40.18,-152.32,398.0,0.0,0.0,1.0,
M5 escape,38.68,-161.32,399.5,0.0,0.0,1.0,
M5 escape,8.68,-162.82,416.0,0.0,0.0,1.0,
M5 escape,25.18,-146.32,416.0,0.0,0.0,1.0,
M6 oof,20.68,-167.32,416.0,-0.2067,0.5444,-0.8129,2.018
M6 oof,37.18,-155.32,404.0,-0.7992,-0.2972,0.5225,1.914
M6 oof,14.68,-158.32,402.5,0.5804,0.0799,-0.8104,2.025
M8 consensus,20.68,-168.82,414.5,,,,
M8 consensus,14.68,-159.82,401.0,,,,
M8 consensus,37.18,-155.32,405.5,,,,
M8 consensus,29.68,-165.82,335.0,,,,
