id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,15.84,30.66,-977.64,-0.2093,0.5628,-0.7997,2.03
branch_002,17.4,32.22,-958.44,-0.2159,0.4918,-0.8435,1.456
branch_003,8.8,31.44,-988.84,0.9719,0.1529,-0.1788,1.234
branch_004,11.14,29.88,-1065.64,-0.0642,-0.1165,-0.9911,0.178
branch_005,9.58,29.1,-1024.84,0.0466,-0.0722,0.9963,0.209
branch_006,20.53,35.35,-995.24,-0.7529,-0.4361,-0.4929,0.969
branch_007,19.75,28.31,-1060.84,-0.2207,-0.1475,-0.9641,0.756
branch_008,21.31,29.1,-1030.44,-0.6794,-0.6171,0.397,0.902
branch_009,11.93,28.31,-1008.84,0.4534,-0.5155,-0.7272,0.234
branch_010,16.62,38.48,-1053.64,-0.3015,-0.0386,0.9527,0.845
