id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,8.8,31.44,-988.84,0.1173,-0.0503,0.9918,1.246
branch_002,17.4,32.22,-958.44,0.917,0.3825,-0.1134,0.505
branch_003,19.75,28.31,-1060.04,0.0629,0.3027,0.951,0.373
branch_004,17.4,36.92,-1026.44,0.4877,-0.4062,0.7727,0.728
branch_005,21.31,29.88,-1031.24,0.0015,-0.1895,-0.9819,0.383
branch_006,8.02,38.48,-976.84,0.4175,0.1728,0.8921,0.226
branch_007,17.4,38.48,-1053.64,-0.0015,-0.1137,-0.9935,0.132
branch_008,20.53,35.35,-995.24,0.1869,-0.5063,0.8418,0.205
branch_009,20.53,34.57,-972.84,-0.1623,0.0727,0.9841,0.613
branch_010,10.36,35.35,-1052.04,0.0961,-0.0415,-0.9945,0.739
branch_011,10.36,36.92,-1000.84,0.1615,0.1553,-0.9746,0.453
branch_012,9.58,29.88,-1004.84,-0.8347,0.0636,0.547,0.508
branch_013,18.96,26.75,-1024.04,-0.2534,-0.1846,0.9496,0.663
branch_014,8.8,34.57,-1020.04,0.3971,0.0714,0.915,0.274
branch_015,16.62,30.66,-984.84,0.433,-0.0201,0.9011,0.688
