id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,15.84,30.66,-976.04,0.0851,0.5154,-0.8527,1.612
branch_002,17.4,32.22,-956.84,-0.0086,0.4912,-0.871,1.881
branch_003,8.8,31.44,-988.84,0.8574,0.1381,-0.4957,1.495
branch_004,20.53,34.57,-1079.24,-0.0958,-0.1016,0.9902,0.559
branch_005,21.31,35.35,-994.44,-0.8149,-0.5142,-0.2674,1.103
branch_006,22.09,30.66,-1030.44,-0.6916,-0.6183,0.3734,1.061
branch_007,21.31,33.79,-972.04,-0.764,-0.5646,-0.3122,0.782
branch_008,8.8,34.57,-1052.84,0.985,-0.095,0.144,0.782
branch_009,9.58,40.83,-1078.44,0.9789,-0.052,-0.1977,0.766
branch_010,18.18,37.7,-1016.04,-0.2809,-0.6099,0.741,1.003
branch_011,18.18,39.26,-1055.24,-0.3565,-0.2535,0.8993,0.782
branch_012,16.62,43.17,-1079.24,-0.7845,-0.6201,-0.0085,0.787
branch_013,8.02,33.79,-1020.04,0.9155,-0.0398,0.4003,0.782
