id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,10.36,31.44,-1080.04,,,,
branch_002,9.58,40.04,-1079.24,,,,
branch_003,16.62,42.39,-1078.44,,,,
branch_004,19.75,34.57,-1078.44,,,,
branch_005,19.75,32.22,-1072.84,,,,
branch_006,19.75,29.1,-1064.04,,,,
branch_007,17.4,38.48,-1052.84,,,,
branch_008,11.14,36.92,-1052.04,,,,
branch_009,12.71,36.13,-1042.44,,,,
branch_010,12.71,36.13,-1036.04,,,,
branch_011,15.84,25.97,-1034.44,,,,
branch_012,21.31,31.44,-1030.44,,,,
branch_013,15.84,25.97,-1020.04,,,,
branch_014,11.14,26.75,-1016.04,,,,
branch_015,14.27,38.48,-1012.84,,,,
branch_016,9.58,29.1,-1002.44,,,,
branch_017,18.96,29.88,-997.64,,,,
branch_018,11.14,38.48,-996.04,,,,
branch_019,15.05,29.1,-992.84,,,,
branch_020,8.8,31.44,-989.64,,,,
branch_021,15.05,30.66,-978.44,,,,
branch_022,15.05,42.39,-975.24,,,,
branch_023,11.14,43.95,-963.24,,,,
branch_024,15.84,30.66,-963.24,,,,
