id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,15.84,30.66,-977.64,0.1064,0.2861,-0.9523,2.788
branch_002,14.27,43.17,-978.44,0.8975,0.4389,0.0426,0.828
branch_003,18.18,32.22,-959.24,0.027,0.4058,-0.9135,2.216
branch_004,22.09,30.66,-1030.44,-0.686,-0.6252,0.3722,1.157
branch_005,21.31,33.79,-972.04,-0.8091,-0.4874,-0.3283,0.792
branch_006,17.4,39.26,-1052.84,-0.4017,-0.2977,0.866,0.982
branch_007,8.8,34.57,-1052.84,0.9811,-0.1788,0.0744,0.707
branch_008,10.36,40.83,-1080.04,0.9701,-0.0476,-0.238,0.895
branch_009,16.62,43.17,-1079.24,-0.836,-0.5478,0.0331,0.938
branch_010,16.62,38.48,-1016.04,-0.3213,-0.5839,0.7455,0.977
branch_011,8.02,33.79,-1020.04,0.8302,-0.2725,-0.4863,
branch_012,12.71,25.97,-1032.04,0.4628,-0.6782,0.5708,0.263
branch_013,8.8,33.01,-1072.84,0.0,0.1995,0.9799,0.782
