id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,22.09,30.66,-1030.44,-0.686,-0.6252,0.3722,1.157
branch_002,21.31,33.79,-972.04,-0.8091,-0.4874,-0.3283,0.792
branch_003,17.4,39.26,-1052.84,-0.4017,-0.2977,0.866,0.982
branch_004,8.8,34.57,-1052.84,0.9811,-0.1788,0.0744,0.707
branch_005,10.36,40.83,-1080.04,0.9701,-0.0476,-0.238,0.895
branch_006,16.62,43.17,-1079.24,-0.836,-0.5478,0.0331,0.938
branch_007,16.62,38.48,-1016.04,-0.3213,-0.5839,0.7455,0.977
branch_008,8.02,33.79,-1020.04,0.8302,-0.2725,-0.4863,
branch_009,12.71,25.97,-1032.04,0.4628,-0.6782,0.5708,0.263
branch_010,8.8,33.01,-1072.84,0.0,0.1995,0.9799,0.782
