id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,19.75,28.31,-1061.64,-0.1512,-0.1698,-0.9738,1.303
branch_002,14.27,41.61,-980.84,0.6289,-0.5955,0.4998,
branch_003,16.62,31.44,-964.04,-0.0164,-0.5538,0.8325,1.366
branch_004,21.31,29.1,-1030.44,0.7465,0.4135,-0.5213,0.985
branch_005,9.58,34.57,-1051.24,-0.1477,0.1491,0.9777,0.606
branch_006,9.58,32.22,-1026.44,0.1568,-0.0868,0.9838,0.192
branch_007,20.53,34.57,-972.84,-0.6937,0.1121,-0.7115,
branch_008,16.62,38.48,-1053.64,-0.5914,-0.325,0.738,0.238
branch_009,16.62,37.7,-1016.84,-0.5857,-0.5126,0.6278,0.319
branch_010,14.27,43.17,-1079.24,-0.8427,-0.5233,0.1262,0.862
