id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,17.4,30.66,-975.24,0.1108,0.5134,-0.851,0.858
branch_002,17.4,32.22,-957.64,-0.0388,0.4146,-0.9092,0.895
branch_003,19.75,33.01,-981.64,-0.5695,-0.717,0.402,0.928
branch_004,9.58,30.66,-989.64,0.8428,0.1161,-0.5256,1.586
branch_005,19.75,28.31,-1061.64,-0.1544,-0.2634,-0.9522,1.093
branch_006,21.31,35.35,-994.44,-0.808,-0.5273,-0.2629,1.703
branch_007,22.09,30.66,-1030.44,-0.6776,-0.6237,0.3897,1.144
branch_008,12.71,40.04,-995.24,0.9705,0.2397,-0.0264,1.057
branch_009,17.4,39.26,-1052.84,-0.3769,-0.3148,0.8711,1.05
branch_010,8.8,40.04,-1078.44,0.9757,-0.0744,-0.2063,0.783
branch_011,8.8,34.57,-1052.84,0.9856,-0.103,0.1338,0.84
branch_012,16.62,43.17,-1078.44,-0.8004,-0.5994,0.0092,0.857
