id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,14.27,29.88,-975.24,0.0982,0.5222,-0.8471,1.615
branch_002,17.4,33.79,-954.44,-0.1428,0.54,-0.8295,1.777
branch_003,8.8,31.44,-986.44,0.6968,0.2805,-0.6601,1.56
branch_004,21.31,35.35,-994.44,-0.8293,-0.463,-0.3128,1.106
branch_005,21.31,29.1,-1030.44,-0.7356,-0.6047,0.3055,1.045
branch_006,20.53,33.79,-973.64,-0.807,-0.4671,-0.3614,0.766
branch_007,18.96,32.22,-981.64,-0.904,-0.4178,-0.0903,0.783
branch_008,8.8,34.57,-1052.84,0.9842,-0.1081,0.1406,0.782
branch_009,9.58,32.22,-1035.24,-0.0792,0.3919,0.9166,0.559
branch_010,11.14,40.83,-1077.64,0.962,-0.009,-0.2728,0.704
branch_011,16.62,38.48,-1053.64,-0.4284,-0.3211,0.8446,0.782
branch_012,18.18,37.7,-1016.04,-0.2809,-0.6099,0.741,1.003
branch_013,16.62,43.17,-1079.24,-0.7798,-0.626,-0.0085,0.792
branch_014,8.02,32.22,-1016.04,0.0029,-0.0614,0.9981,0.717
