id,ostium_x_mm,ostium_y_mm,ostium_z_mm,dir_x,dir_y,dir_z,radius_mm
branch_001,10.36,40.04,-1079.24,,,,
branch_002,15.84,42.39,-1078.44,,,,
branch_003,19.75,32.22,-1074.44,,,,
branch_004,11.93,40.04,-1072.84,,,,
branch_005,19.75,29.88,-1068.04,,,,
branch_006,16.62,37.7,-1053.64,,,,
branch_007,9.58,34.57,-1052.04,,,,
branch_008,11.93,36.92,-1047.24,,,,
branch_009,15.05,26.75,-1043.24,,,,
branch_010,11.93,35.35,-1036.84,,,,
branch_011,15.84,25.97,-1034.44,,,,
branch_012,21.31,30.66,-1030.44,,,,
branch_013,8.02,33.79,-1019.24,,,,
branch_014,15.84,25.97,-1018.44,,,,
branch_015,15.84,36.92,-1016.84,,,,
branch_016,11.93,36.92,-1012.04,,,,
branch_017,11.93,28.31,-999.24,,,,
branch_018,18.18,29.88,-997.64,,,,
branch_019,10.36,37.7,-996.84,,,,
branch_020,9.58,37.7,-989.64,,,,
branch_021,9.58,30.66,-988.04,,,,
branch_022,15.05,41.61,-977.64,,,,
branch_023,15.05,30.66,-976.84,,,,
branch_024,11.14,43.17,-968.84,,,,
branch_025,15.84,32.22,-958.44,,,,
