branch,k_sd,rule,lo_hu,hi_hu,frac_in_band,frac_below,frac_above
label_2,1.5,mean_sd,433.9,723.9,0.3684,0.6316,0.0
label_2,1.5,median_mad,524.0,604.0,0.0526,0.9474,0.0
label_2,2.0,mean_sd,385.6,772.3,0.4737,0.5263,0.0
label_2,2.0,median_mad,510.6,617.4,0.0526,0.9474,0.0
label_2,2.5,mean_sd,337.3,820.6,0.6842,0.3158,0.0
label_2,2.5,median_mad,497.3,630.7,0.1053,0.8947,0.0
label_2,3.0,mean_sd,289.0,868.9,0.8421,0.1579,0.0
label_2,3.0,median_mad,483.9,644.1,0.2105,0.7895,0.0
label_2,3.5,mean_sd,240.6,917.3,0.9474,0.0526,0.0
label_2,3.5,median_mad,470.6,657.4,0.3158,0.6842,0.0
label_2,4.0,mean_sd,192.3,965.6,1.0,0.0,0.0
label_2,4.0,median_mad,457.3,670.7,0.3684,0.6316,0.0
label_3,1.5,mean_sd,433.9,723.9,0.2857,0.7143,0.0
label_3,1.5,median_mad,524.0,604.0,0.0,1.0,0.0
label_3,2.0,mean_sd,385.6,772.3,0.5,0.5,0.0
label_3,2.0,median_mad,510.6,617.4,0.0,1.0,0.0
label_3,2.5,mean_sd,337.3,820.6,0.8571,0.1429,0.0
label_3,2.5,median_mad,497.3,630.7,0.0,1.0,0.0
label_3,3.0,mean_sd,289.0,868.9,0.9286,0.0714,0.0
label_3,3.0,median_mad,483.9,644.1,0.0,1.0,0.0
label_3,3.5,mean_sd,240.6,917.3,1.0,0.0,0.0
label_3,3.5,median_mad,470.6,657.4,0.0,1.0,0.0
label_3,4.0,mean_sd,192.3,965.6,1.0,0.0,0.0
label_3,4.0,median_mad,457.3,670.7,0.0714,0.9286,0.0
label_4,1.5,mean_sd,433.9,723.9,0.7059,0.2941,0.0
label_4,1.5,median_mad,524.0,604.0,0.5,0.4118,0.0882
label_4,2.0,mean_sd,385.6,772.3,0.7647,0.2353,0.0
label_4,2.0,median_mad,510.6,617.4,0.5588,0.4118,0.0294
label_4,2.5,mean_sd,337.3,820.6,0.8824,0.1176,0.0
label_4,2.5,median_mad,497.3,630.7,0.5882,0.4118,0.0
label_4,3.0,mean_sd,289.0,868.9,1.0,0.0,0.0
label_4,3.0,median_mad,483.9,644.1,0.6176,0.3824,0.0
label_4,3.5,mean_sd,240.6,917.3,1.0,0.0,0.0
label_4,3.5,median_mad,470.6,657.4,0.6471,0.3529,0.0
label_4,4.0,mean_sd,192.3,965.6,1.0,0.0,0.0
label_4,4.0,median_mad,457.3,670.7,0.6765,0.3235,0.0
