branch,floor_hu,ceiling_hu,reach_mm,frac_of_branch_connected
label_2,100.0,600.0,6.71,1.0
label_2,140.0,600.0,6.71,1.0
label_2,180.0,600.0,6.71,1.0
label_2,220.0,600.0,6.71,1.0
label_2,260.0,600.0,6.71,0.8421
label_2,300.0,600.0,6.71,0.8421
label_2,340.0,600.0,6.71,0.6842
label_2,380.0,600.0,0.0,0.0
label_2,420.0,600.0,0.0,0.0
label_2,460.0,600.0,0.0,0.0
label_2,500.0,600.0,0.0,0.0
label_3,100.0,600.0,6.18,1.0
label_3,140.0,600.0,6.18,1.0
label_3,180.0,600.0,6.18,1.0
label_3,220.0,600.0,6.18,1.0
label_3,260.0,600.0,6.18,1.0
label_3,300.0,600.0,6.0,0.8571
label_3,340.0,600.0,6.0,0.7857
label_3,380.0,600.0,3.0,0.2143
label_3,420.0,600.0,1.5,0.0714
label_3,460.0,600.0,0.0,0.0
label_3,500.0,600.0,0.0,0.0
label_4,100.0,600.0,9.84,0.8529
label_4,140.0,600.0,9.84,0.8529
label_4,180.0,600.0,9.84,0.8529
label_4,220.0,600.0,9.84,0.8529
label_4,260.0,600.0,9.84,0.8529
label_4,300.0,600.0,9.84,0.8529
label_4,340.0,600.0,0.0,0.0
label_4,380.0,600.0,0.0,0.0
label_4,420.0,600.0,0.0,0.0
label_4,460.0,600.0,0.0,0.0
label_4,500.0,600.0,0.0,0.0
