branch,dist_lo_mm,dist_hi_mm,n_voxels,hu_p10,hu_p50,hu_p90,hu_min
label_2,0.0,1.0,0,,,,
label_2,1.0,2.0,3,261.0,313.0,336.2,248.0
label_2,2.0,3.0,0,,,,
label_2,3.0,4.0,7,330.6,413.0,479.6,327.0
label_2,4.0,5.0,6,301.0,437.0,518.0,250.0
label_2,5.0,6.0,2,249.6,308.0,366.4,235.0
label_2,6.0,7.0,1,488.0,488.0,488.0,488.0
label_2,7.0,8.0,0,,,,
label_3,0.0,1.0,0,,,,
label_3,1.0,2.0,2,367.2,408.0,448.8,357.0
label_3,2.0,3.0,0,,,,
label_3,3.0,4.0,3,323.8,399.0,399.8,305.0
label_3,4.0,5.0,3,355.6,418.0,449.2,340.0
label_3,5.0,6.0,0,,,,
label_3,6.0,7.0,6,318.0,353.0,447.0,287.0
label_3,7.0,8.0,0,,,,
label_4,0.0,1.0,0,,,,
label_4,1.0,2.0,1,327.0,327.0,327.0,327.0
label_4,2.0,3.0,4,306.3,343.5,436.0,300.0
label_4,3.0,4.0,2,360.7,391.5,422.3,353.0
label_4,4.0,5.0,4,328.9,379.5,457.4,310.0
label_4,5.0,6.0,5,450.0,580.0,616.2,436.0
label_4,6.0,7.0,6,537.5,584.5,598.0,532.0
label_4,7.0,8.0,5,436.0,584.0,595.8,348.0
label_4,8.0,9.0,5,567.0,590.0,613.4,557.0
label_4,9.0,10.0,2,593.9,597.5,601.1,593.0
label_4,10.0,11.0,0,,,,
