branch,k_sd,rule,lo_hu,hi_hu,frac_in_band,frac_below,frac_above
label_2,1.5,mean_sd,452.6,549.7,0.1667,0.8333,0.0
label_2,1.5,median_mad,456.3,549.7,0.1667,0.8333,0.0
label_2,2.0,mean_sd,436.4,565.8,0.2778,0.7222,0.0
label_2,2.0,median_mad,440.7,565.3,0.2778,0.7222,0.0
label_2,2.5,mean_sd,420.3,582.0,0.4444,0.5556,0.0
label_2,2.5,median_mad,425.2,580.8,0.3889,0.6111,0.0
label_2,3.0,mean_sd,404.1,598.2,0.5,0.5,0.0
label_2,3.0,median_mad,409.6,596.4,0.4444,0.5556,0.0
label_2,3.5,mean_sd,387.9,614.3,0.5556,0.4444,0.0
label_2,3.5,median_mad,394.0,612.0,0.5556,0.4444,0.0
label_2,4.0,mean_sd,371.7,630.5,0.6111,0.3889,0.0
label_2,4.0,median_mad,378.5,627.5,0.6111,0.3889,0.0
label_3,1.5,mean_sd,452.6,549.7,0.1176,0.8824,0.0
label_3,1.5,median_mad,456.3,549.7,0.1176,0.8824,0.0
label_3,2.0,mean_sd,436.4,565.8,0.1176,0.8824,0.0
label_3,2.0,median_mad,440.7,565.3,0.1176,0.8824,0.0
label_3,2.5,mean_sd,420.3,582.0,0.2941,0.7059,0.0
label_3,2.5,median_mad,425.2,580.8,0.2941,0.7059,0.0
label_3,3.0,mean_sd,404.1,598.2,0.4706,0.5294,0.0
label_3,3.0,median_mad,409.6,596.4,0.4118,0.5882,0.0
label_3,3.5,mean_sd,387.9,614.3,0.4706,0.5294,0.0
label_3,3.5,median_mad,394.0,612.0,0.4706,0.5294,0.0
label_3,4.0,mean_sd,371.7,630.5,0.4706,0.5294,0.0
label_3,4.0,median_mad,378.5,627.5,0.4706,0.5294,0.0
label_4,1.5,mean_sd,452.6,549.7,0.0,1.0,0.0
label_4,1.5,median_mad,456.3,549.7,0.0,1.0,0.0
label_4,2.0,mean_sd,436.4,565.8,0.0,1.0,0.0
label_4,2.0,median_mad,440.7,565.3,0.0,1.0,0.0
label_4,2.5,mean_sd,420.3,582.0,0.0,1.0,0.0
label_4,2.5,median_mad,425.2,580.8,0.0,1.0,0.0
label_4,3.0,mean_sd,404.1,598.2,0.0,1.0,0.0
label_4,3.0,median_mad,409.6,596.4,0.0,1.0,0.0
label_4,3.5,mean_sd,387.9,614.3,0.0,1.0,0.0
label_4,3.5,median_mad,394.0,612.0,0.0,1.0,0.0
label_4,4.0,mean_sd,371.7,630.5,0.1111,0.8889,0.0
label_4,4.0,median_mad,378.5,627.5,0.0,1.0,0.0
label_5,1.5,mean_sd,452.6,549.7,0.0667,0.9333,0.0
label_5,1.5,median_mad,456.3,549.7,0.0667,0.9333,0.0
label_5,2.0,mean_sd,436.4,565.8,0.0667,0.9333,0.0
label_5,2.0,median_mad,440.7,565.3,0.0667,0.9333,0.0
label_5,2.5,mean_sd,420.3,582.0,0.2,0.8,0.0
label_5,2.5,median_mad,425.2,580.8,0.1333,0.8667,0.0
label_5,3.0,mean_sd,404.1,598.2,0.3333,0.6667,0.0
label_5,3.0,median_mad,409.6,596.4,0.3333,0.6667,0.0
label_5,3.5,mean_sd,387.9,614.3,0.4667,0.5333,0.0
label_5,3.5,median_mad,394.0,612.0,0.4,0.6,0.0
label_5,4.0,mean_sd,371.7,630.5,0.5333,0.4667,0.0
label_5,4.0,median_mad,378.5,627.5,0.4667,0.5333,0.0
