branch,dist_lo_mm,dist_hi_mm,n_voxels,hu_p10,hu_p50,hu_p90,hu_min
label_2,0.0,1.0,0,,,,
label_2,1.0,2.0,9,281.6,379.0,449.4,268.0
label_2,2.0,3.0,6,363.5,428.0,516.5,322.0
label_2,3.0,4.0,3,303.2,308.0,420.0,302.0
label_2,4.0,5.0,0,,,,
label_3,0.0,1.0,0,,,,
label_3,1.0,2.0,2,279.1,339.5,399.9,264.0
label_3,2.0,3.0,3,294.8,414.0,426.0,265.0
label_3,3.0,4.0,5,267.2,276.0,477.4,262.0
label_3,4.0,5.0,3,278.0,302.0,461.2,272.0
label_3,5.0,6.0,2,407.9,419.5,431.1,405.0
label_3,6.0,7.0,2,282.6,285.0,287.4,282.0
label_3,7.0,8.0,0,,,,
label_4,0.0,1.0,0,,,,
label_4,1.0,2.0,2,266.9,278.5,290.1,264.0
label_4,2.0,3.0,4,248.1,296.5,349.1,231.0
label_4,3.0,4.0,3,260.4,358.0,372.4,236.0
label_4,4.0,5.0,3,250.0,258.0,277.2,248.0
label_4,5.0,6.0,3,237.2,278.0,289.2,227.0
label_4,6.0,7.0,2,361.6,368.0,374.4,360.0
label_4,7.0,8.0,1,244.0,244.0,244.0,244.0
label_4,8.0,9.0,0,,,,
label_5,0.0,1.0,0,,,,
label_5,1.0,2.0,1,291.0,291.0,291.0,291.0
label_5,2.0,3.0,2,282.6,341.0,399.4,268.0
label_5,3.0,4.0,4,358.4,421.5,425.8,332.0
label_5,4.0,5.0,3,286.6,377.0,459.4,264.0
label_5,5.0,6.0,2,330.9,346.5,362.1,327.0
label_5,6.0,7.0,3,285.6,392.0,396.0,259.0
label_5,7.0,8.0,0,,,,
