branch,floor_hu,ceiling_hu,reach_mm,frac_of_branch_connected
label_2,100.0,600.0,3.35,1.0
label_2,140.0,600.0,3.35,1.0
label_2,180.0,600.0,3.35,1.0
label_2,220.0,600.0,3.35,0.8077
label_2,260.0,600.0,3.35,0.6923
label_2,300.0,600.0,2.12,0.5
label_2,340.0,600.0,0.0,0.0
label_2,380.0,600.0,0.0,0.0
label_2,420.0,600.0,0.0,0.0
label_2,460.0,600.0,0.0,0.0
label_2,500.0,600.0,0.0,0.0
label_3,100.0,600.0,7.5,1.0
label_3,140.0,600.0,7.5,1.0
label_3,180.0,600.0,7.5,1.0
label_3,220.0,600.0,7.5,0.8125
label_3,260.0,600.0,7.5,0.6875
label_3,300.0,600.0,0.0,0.0
label_3,340.0,600.0,0.0,0.0
label_3,380.0,600.0,0.0,0.0
label_3,420.0,600.0,0.0,0.0
label_3,460.0,600.0,0.0,0.0
label_3,500.0,600.0,0.0,0.0
label_4,100.0,600.0,3.35,1.0
label_4,140.0,600.0,3.35,1.0
label_4,180.0,600.0,3.35,1.0
label_4,220.0,600.0,1.5,0.2143
label_4,260.0,600.0,1.5,0.0714
label_4,300.0,600.0,0.0,0.0
label_4,340.0,600.0,0.0,0.0
label_4,380.0,600.0,0.0,0.0
label_4,420.0,600.0,0.0,0.0
label_4,460.0,600.0,0.0,0.0
label_4,500.0,600.0,0.0,0.0
