case_id,setting,method,tol_mm,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score,runtime_s
subject019,sd:3,M3 expansion,3.0,3,4,1,3,2,0.25,0.3333,0.2857,2.121,2.121,2.121,0.2928,0.18
subject019,sd:3,M3 expansion,5.0,3,4,2,2,1,0.5,0.6667,0.5714,2.561,2.561,3.0,0.4878,0.18
subject019,sd:3,M3 expansion,6.0,3,4,3,1,0,0.75,1.0,0.8571,3.51,3.0,5.408,0.415,0.18
subject019,sd:3,M3 expansion,8.0,3,4,3,1,0,0.75,1.0,0.8571,3.51,3.0,5.408,0.5613,0.18
subject019,sd:3,M3 expansion,10.0,3,4,3,1,0,0.75,1.0,0.8571,3.51,3.0,5.408,0.649,0.18
subject019,sd:3+r5,M3 expansion,3.0,3,3,1,2,2,0.3333,0.3333,0.3333,2.121,2.121,2.121,0.2928,0.06
subject019,sd:3+r5,M3 expansion,5.0,3,3,2,1,1,0.6667,0.6667,0.6667,2.561,2.561,3.0,0.4878,0.06
subject019,sd:3+r5,M3 expansion,6.0,3,3,3,0,0,1.0,1.0,1.0,3.51,3.0,5.408,0.415,0.06
subject019,sd:3+r5,M3 expansion,8.0,3,3,3,0,0,1.0,1.0,1.0,3.51,3.0,5.408,0.5613,0.06
subject019,sd:3+r5,M3 expansion,10.0,3,3,3,0,0,1.0,1.0,1.0,3.51,3.0,5.408,0.649,0.06
subject019,sd:3+f230,M3 expansion,3.0,3,5,1,4,2,0.2,0.3333,0.25,2.121,2.121,2.121,0.2928,0.07
subject019,sd:3+f230,M3 expansion,5.0,3,5,1,4,2,0.2,0.3333,0.25,2.121,2.121,2.121,0.5757,0.07
subject019,sd:3+f230,M3 expansion,6.0,3,5,2,3,1,0.4,0.6667,0.5,3.765,3.765,5.408,0.3725,0.07
subject019,sd:3+f230,M3 expansion,8.0,3,5,2,3,1,0.4,0.6667,0.5,3.765,3.765,5.408,0.5294,0.07
subject019,sd:3+f230,M3 expansion,10.0,3,5,2,3,1,0.4,0.6667,0.5,3.765,3.765,5.408,0.6235,0.07
subject019,sd:3+f230+r5,M3 expansion,3.0,3,2,1,1,2,0.5,0.3333,0.4,2.121,2.121,2.121,0.2928,0.07
subject019,sd:3+f230+r5,M3 expansion,5.0,3,2,1,1,2,0.5,0.3333,0.4,2.121,2.121,2.121,0.5757,0.07
subject019,sd:3+f230+r5,M3 expansion,6.0,3,2,2,0,1,1.0,0.6667,0.8,3.765,3.765,5.408,0.3725,0.07
