case_id,setting,method,tol_mm,gt_name,matched,error_mm
subject019,sd:3,M3 expansion,3.0,label_2,0,
subject019,sd:3,M3 expansion,3.0,label_3,1,2.121
subject019,sd:3,M3 expansion,3.0,label_4,0,
subject019,sd:3,M3 expansion,5.0,label_2,1,3.0
subject019,sd:3,M3 expansion,5.0,label_3,1,2.121
subject019,sd:3,M3 expansion,5.0,label_4,0,
subject019,sd:3,M3 expansion,6.0,label_2,1,3.0
subject019,sd:3,M3 expansion,6.0,label_3,1,2.121
subject019,sd:3,M3 expansion,6.0,label_4,1,5.408
subject019,sd:3,M3 expansion,8.0,label_2,1,3.0
subject019,sd:3,M3 expansion,8.0,label_3,1,2.121
subject019,sd:3,M3 expansion,8.0,label_4,1,5.408
subject019,sd:3,M3 expansion,10.0,label_2,1,3.0
subject019,sd:3,M3 expansion,10.0,label_3,1,2.121
subject019,sd:3,M3 expansion,10.0,label_4,1,5.408
subject019,sd:3+r5,M3 expansion,3.0,label_2,0,
subject019,sd:3+r5,M3 expansion,3.0,label_3,1,2.121
subject019,sd:3+r5,M3 expansion,3.0,label_4,0,
subject019,sd:3+r5,M3 expansion,5.0,label_2,1,3.0
subject019,sd:3+r5,M3 expansion,5.0,label_3,1,2.121
subject019,sd:3+r5,M3 expansion,5.0,label_4,0,
subject019,sd:3+r5,M3 expansion,6.0,label_2,1,3.0
subject019,sd:3+r5,M3 expansion,6.0,label_3,1,2.121
subject019,sd:3+r5,M3 expansion,6.0,label_4,1,5.408
subject019,sd:3+r5,M3 expansion,8.0,label_2,1,3.0
subject019,sd:3+r5,M3 expansion,8.0,label_3,1,2.121
subject019,sd:3+r5,M3 expansion,8.0,label_4,1,5.408
subject019,sd:3+r5,M3 expansion,10.0,label_2,1,3.0
subject019,sd:3+r5,M3 expansion,10.0,label_3,1,2.121
subject019,sd:3+r5,M3 expansion,10.0,label_4,1,5.408
subject019,sd:3+f230,M3 expansion,3.0,label_2,0,
subject019,sd:3+f230,M3 expansion,3.0,label_3,1,2.121
subject019,sd:3+f230,M3 expansion,3.0,label_4,0,
subject019,sd:3+f230,M3 expansion,5.0,label_2,0,
subject019,sd:3+f230,M3 expansion,5.0,label_3,1,2.121
subject019,sd:3+f230,M3 expansion,5.0,label_4,0,
subject019,sd:3+f230,M3 expansion,6.0,label_2,0,
subject019,sd:3+f230,M3 expansion,6.0,label_3,1,2.121
subject019,sd:3+f230,M3 expansion,6.0,label_4,1,5.408
subject019,sd:3+f230,M3 expansion,8.0,label_2,0,
subject019,sd:3+f230,M3 expansion,8.0,label_3,1,2.121
subject019,sd:3+f230,M3 expansion,8.0,label_4,1,5.408
subject019,sd:3+f230,M3 expansion,10.0,label_2,0,
subject019,sd:3+f230,M3 expansion,10.0,label_3,1,2.121
subject019,sd:3+f230,M3 expansion,10.0,label_4,1,5.408
subject019,sd:3+f230+r5,M3 expansion,3.0,label_2,0,
subject019,sd:3+f230+r5,M3 expansion,3.0,label_3,1,2.121
subject019,sd:3+f230+r5,M3 expansion,3.0,label_4,0,
subject019,sd:3+f230+r5,M3 expansion,5.0,label_2,0,
subject019,sd:3+f230+r5,M3 expansion,5.0,label_3,1,2.121
subject019,sd:3+f230+r5,M3 expansion,5.0,label_4,0,
subject019,sd:3+f230+r5,M3 expansion,6.0,label_2,0,
subject019,sd:3+f230+r5,M3 expansion,6.0,label_3,1,2.121
subject019,sd:3+f230+r5,M3 expansion,6.0,label_4,1,5.408
subject019,sd:3+f230+r5,M3 expansion,8.0,label_2,0,
subject019,sd:3+f230+r5,M3 expansion,8.0,label_3,1,2.121
subject019,sd:3+f230+r5,M3 expansion,8.0,label_4,1,5.408
subject019,sd:3+f230+r5,M3 expansion,10.0,label_2,0,
subject019,sd:3+f230+r5,M3 expansion,10.0,label_3,1,2.121
subject019,sd:3+f230+r5,M3 expansion,10.0,label_4,1,5.408
subject019,sd:3+f250,M3 expansion,3.0,label_2,0,
subject019,sd:3+f250,M3 expansion,3.0,label_3,1,2.121
