setting,method,tol_mm,n_cases,mean_f1,mean_precision,mean_recall,mean_err_mm
sd:2,M1 frangi,5.0,2,0.2857,0.25,0.3333,3.182
sd:2,M2 band_connect,5.0,2,0.4,0.5,0.3333,1.81
sd:2,M3 expansion,5.0,2,0.5333,0.5,0.6666,1.353
sd:2,M4 wall_flux,5.0,2,0.0,0.0,0.0,
sd:2.5,M1 frangi,5.0,2,0.2857,0.25,0.3333,3.182
sd:2.5,M2 band_connect,5.0,2,0.4285,0.375,0.5,1.207
sd:2.5,M3 expansion,5.0,2,0.5165,0.4,0.8334,1.978
sd:2.5,M4 wall_flux,5.0,2,0.0,0.0,0.0,
sd:3,M1 frangi,5.0,2,0.2857,0.25,0.3333,3.182
sd:3,M2 band_connect,5.0,2,0.3,0.2143,0.5,1.207
sd:3,M3 expansion,5.0,2,0.5857,0.4643,0.8334,2.134
sd:3,M4 wall_flux,5.0,2,0.0,0.0,0.0,
sd:3.5,M1 frangi,5.0,2,0.2857,0.25,0.3333,3.182
sd:3.5,M2 band_connect,5.0,2,0.4728,0.4375,0.6666,1.457
sd:3.5,M3 expansion,5.0,2,0.2019,0.15,0.3333,2.121
sd:3.5,M4 wall_flux,5.0,2,0.0,0.0,0.0,
v2,M1 frangi,5.0,2,0.3333,0.3333,0.3333,3.958
v2,M2 band_connect,5.0,2,0.3333,0.25,0.5,1.825
v2,M3 expansion,5.0,2,0.2727,0.1875,0.5,2.325
v2,M4 wall_flux,5.0,2,0.0,0.0,0.0,
