setting,method,tol_mm,n_cases,mean_f1,mean_precision,mean_recall,mean_err_mm
sd:2.5,M1 frangi,5.0,2,0.2857,0.25,0.3333,3.182
sd:2.5,M2 band_connect,5.0,2,0.4285,0.375,0.5,1.207
sd:2.5,M3 expansion,5.0,2,0.5165,0.4,0.8334,1.978
sd:2.5+r5,M1 frangi,5.0,2,0.2857,0.25,0.3333,3.182
sd:2.5+r5,M2 band_connect,5.0,2,0.4,0.5,0.3333,1.81
sd:2.5+r5,M3 expansion,5.0,2,0.775,0.8,0.8334,1.978
sd:3,M1 frangi,5.0,2,0.2857,0.25,0.3333,3.182
sd:3,M2 band_connect,5.0,2,0.3,0.2143,0.5,1.207
sd:3,M3 expansion,5.0,2,0.5857,0.4643,0.8334,2.134
sd:3+r5,M1 frangi,5.0,2,0.2857,0.25,0.3333,3.182
sd:3+r5,M2 band_connect,5.0,2,0.4,0.5,0.3333,1.81
sd:3+r5,M3 expansion,5.0,2,0.7619,0.7084,0.8334,2.134
