case_id,setting,method,tol_mm,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score,runtime_s
subject019,sd:2.5,M1 frangi,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5,M1 frangi,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5,M1 frangi,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5,M1 frangi,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5,M1 frangi,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5,M2 band_connect,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:2.5,M2 band_connect,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:2.5,M2 band_connect,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:2.5,M2 band_connect,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:2.5,M2 band_connect,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.06
subject019,sd:2.5,M3 expansion,3.0,3,4,1,3,2,0.25,0.3333,0.2857,1.5,1.5,1.5,0.4999,0.2
subject019,sd:2.5,M3 expansion,5.0,3,4,2,2,1,0.5,0.6667,0.5714,2.25,2.25,3.0,0.55,0.2
subject019,sd:2.5,M3 expansion,6.0,3,4,2,2,1,0.5,0.6667,0.5714,2.25,2.25,3.0,0.625,0.2
subject019,sd:2.5,M3 expansion,8.0,3,4,2,2,1,0.5,0.6667,0.5714,2.25,2.25,3.0,0.7187,0.2
subject019,sd:2.5,M3 expansion,10.0,3,4,2,2,1,0.5,0.6667,0.5714,2.25,2.25,3.0,0.775,0.2
subject019,sd:2.5+r5,M1 frangi,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
subject019,sd:2.5+r5,M1 frangi,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.3
