group,tol_mm,status,gt_name,gt_x_mm,gt_y_mm,gt_z_mm,pred_id,pred_x_mm,pred_y_mm,pred_z_mm,error_mm
M1_frangi,3.0,FN,label_2,4.63,-173.37,283.1,,,,,
M1_frangi,3.0,FN,label_3,13.63,-167.37,281.6,,,,,
M1_frangi,3.0,FN,label_4,18.13,-182.37,304.1,,,,,
M1_frangi,5.0,FN,label_2,4.63,-173.37,283.1,,,,,
M1_frangi,5.0,FN,label_3,13.63,-167.37,281.6,,,,,
M1_frangi,5.0,FN,label_4,18.13,-182.37,304.1,,,,,
M1_frangi,6.0,FN,label_2,4.63,-173.37,283.1,,,,,
M1_frangi,6.0,FN,label_3,13.63,-167.37,281.6,,,,,
M1_frangi,6.0,FN,label_4,18.13,-182.37,304.1,,,,,
M1_frangi,8.0,FN,label_2,4.63,-173.37,283.1,,,,,
M1_frangi,8.0,FN,label_3,13.63,-167.37,281.6,,,,,
M1_frangi,8.0,FN,label_4,18.13,-182.37,304.1,,,,,
M1_frangi,10.0,FN,label_2,4.63,-173.37,283.1,,,,,
M1_frangi,10.0,FN,label_3,13.63,-167.37,281.6,,,,,
M1_frangi,10.0,FN,label_4,18.13,-182.37,304.1,,,,,
M2_band_connect,3.0,FN,label_2,4.63,-173.37,283.1,,,,,
M2_band_connect,3.0,FN,label_3,13.63,-167.37,281.6,,,,,
M2_band_connect,3.0,FN,label_4,18.13,-182.37,304.1,,,,,
M2_band_connect,3.0,FP,,,,,branch_001,22.63,-176.37,266.6,
M2_band_connect,5.0,FN,label_2,4.63,-173.37,283.1,,,,,
M2_band_connect,5.0,FN,label_3,13.63,-167.37,281.6,,,,,
M2_band_connect,5.0,FN,label_4,18.13,-182.37,304.1,,,,,
M2_band_connect,5.0,FP,,,,,branch_001,22.63,-176.37,266.6,
M2_band_connect,6.0,FN,label_2,4.63,-173.37,283.1,,,,,
M2_band_connect,6.0,FN,label_3,13.63,-167.37,281.6,,,,,
M2_band_connect,6.0,FN,label_4,18.13,-182.37,304.1,,,,,
M2_band_connect,6.0,FP,,,,,branch_001,22.63,-176.37,266.6,
M2_band_connect,8.0,FN,label_2,4.63,-173.37,283.1,,,,,
M2_band_connect,8.0,FN,label_3,13.63,-167.37,281.6,,,,,
M2_band_connect,8.0,FN,label_4,18.13,-182.37,304.1,,,,,
M2_band_connect,8.0,FP,,,,,branch_001,22.63,-176.37,266.6,
M2_band_connect,10.0,FN,label_2,4.63,-173.37,283.1,,,,,
M2_band_connect,10.0,FN,label_3,13.63,-167.37,281.6,,,,,
M2_band_connect,10.0,FN,label_4,18.13,-182.37,304.1,,,,,
M2_band_connect,10.0,FP,,,,,branch_001,22.63,-176.37,266.6,
M3_expansion,3.0,FN,label_2,4.63,-173.37,283.1,,,,,
M3_expansion,3.0,FN,label_3,13.63,-167.37,281.6,,,,,
M3_expansion,3.0,FN,label_4,18.13,-182.37,304.1,,,,,
M3_expansion,3.0,FP,,,,,branch_001,9.13,-165.87,266.6,
M3_expansion,3.0,FP,,,,,branch_002,18.13,-185.37,299.6,
M3_expansion,3.0,FP,,,,,branch_003,3.13,-168.87,304.1,
M3_expansion,3.0,FP,,,,,branch_004,19.63,-183.87,287.6,
M3_expansion,5.0,FN,label_2,4.63,-173.37,283.1,,,,,
M3_expansion,5.0,FN,label_3,13.63,-167.37,281.6,,,,,
M3_expansion,5.0,FN,label_4,18.13,-182.37,304.1,,,,,
M3_expansion,5.0,FP,,,,,branch_001,9.13,-165.87,266.6,
M3_expansion,5.0,FP,,,,,branch_002,18.13,-185.37,299.6,
M3_expansion,5.0,FP,,,,,branch_003,3.13,-168.87,304.1,
M3_expansion,5.0,FP,,,,,branch_004,19.63,-183.87,287.6,
M3_expansion,6.0,TP,label_4,18.13,-182.37,304.1,branch_002,18.13,-185.37,299.6,5.408
M3_expansion,6.0,FN,label_2,4.63,-173.37,283.1,,,,,
M3_expansion,6.0,FN,label_3,13.63,-167.37,281.6,,,,,
M3_expansion,6.0,FP,,,,,branch_001,9.13,-165.87,266.6,
M3_expansion,6.0,FP,,,,,branch_003,3.13,-168.87,304.1,
M3_expansion,6.0,FP,,,,,branch_004,19.63,-183.87,287.6,
M3_expansion,8.0,TP,label_4,18.13,-182.37,304.1,branch_002,18.13,-185.37,299.6,5.408
M3_expansion,8.0,FN,label_2,4.63,-173.37,283.1,,,,,
M3_expansion,8.0,FN,label_3,13.63,-167.37,281.6,,,,,
M3_expansion,8.0,FP,,,,,branch_001,9.13,-165.87,266.6,
M3_expansion,8.0,FP,,,,,branch_003,3.13,-168.87,304.1,
M3_expansion,8.0,FP,,,,,branch_004,19.63,-183.87,287.6,
M3_expansion,10.0,TP,label_4,18.13,-182.37,304.1,branch_002,18.13,-185.37,299.6,5.408
M3_expansion,10.0,FN,label_2,4.63,-173.37,283.1,,,,,
M3_expansion,10.0,FN,label_3,13.63,-167.37,281.6,,,,,
M3_expansion,10.0,FP,,,,,branch_001,9.13,-165.87,266.6,
M3_expansion,10.0,FP,,,,,branch_003,3.13,-168.87,304.1,
M3_expansion,10.0,FP,,,,,branch_004,19.63,-183.87,287.6,
M4_wall_flux,3.0,FN,label_2,4.63,-173.37,283.1,,,,,
M4_wall_flux,3.0,FN,label_3,13.63,-167.37,281.6,,,,,
M4_wall_flux,3.0,FN,label_4,18.13,-182.37,304.1,,,,,
M4_wall_flux,5.0,FN,label_2,4.63,-173.37,283.1,,,,,
M4_wall_flux,5.0,FN,label_3,13.63,-167.37,281.6,,,,,
M4_wall_flux,5.0,FN,label_4,18.13,-182.37,304.1,,,,,
M4_wall_flux,6.0,FN,label_2,4.63,-173.37,283.1,,,,,
M4_wall_flux,6.0,FN,label_3,13.63,-167.37,281.6,,,,,
M4_wall_flux,6.0,FN,label_4,18.13,-182.37,304.1,,,,,
M4_wall_flux,8.0,FN,label_2,4.63,-173.37,283.1,,,,,
M4_wall_flux,8.0,FN,label_3,13.63,-167.37,281.6,,,,,
M4_wall_flux,8.0,FN,label_4,18.13,-182.37,304.1,,,,,
M4_wall_flux,10.0,FN,label_2,4.63,-173.37,283.1,,,,,
M4_wall_flux,10.0,FN,label_3,13.63,-167.37,281.6,,,,,
M4_wall_flux,10.0,FN,label_4,18.13,-182.37,304.1,,,,,
