gt_name,group,tol_mm,matched,error_mm
label_2,M1_frangi,3.0,0,
label_3,M1_frangi,3.0,0,
label_4,M1_frangi,3.0,0,
label_2,M1_frangi,5.0,0,
label_3,M1_frangi,5.0,0,
label_4,M1_frangi,5.0,0,
label_2,M1_frangi,6.0,0,
label_3,M1_frangi,6.0,0,
label_4,M1_frangi,6.0,0,
label_2,M1_frangi,8.0,0,
label_3,M1_frangi,8.0,0,
label_4,M1_frangi,8.0,0,
label_2,M1_frangi,10.0,0,
label_3,M1_frangi,10.0,0,
label_4,M1_frangi,10.0,0,
label_2,M2_band_connect,3.0,0,
label_3,M2_band_connect,3.0,0,
label_4,M2_band_connect,3.0,0,
label_2,M2_band_connect,5.0,0,
label_3,M2_band_connect,5.0,0,
label_4,M2_band_connect,5.0,0,
label_2,M2_band_connect,6.0,0,
label_3,M2_band_connect,6.0,0,
label_4,M2_band_connect,6.0,0,
label_2,M2_band_connect,8.0,0,
label_3,M2_band_connect,8.0,0,
label_4,M2_band_connect,8.0,0,
label_2,M2_band_connect,10.0,0,
label_3,M2_band_connect,10.0,0,
label_4,M2_band_connect,10.0,0,
label_2,M3_expansion,3.0,0,
label_3,M3_expansion,3.0,0,
label_4,M3_expansion,3.0,0,
label_2,M3_expansion,5.0,0,
label_3,M3_expansion,5.0,0,
label_4,M3_expansion,5.0,0,
label_2,M3_expansion,6.0,0,
label_3,M3_expansion,6.0,0,
label_4,M3_expansion,6.0,1,5.408
label_2,M3_expansion,8.0,0,
label_3,M3_expansion,8.0,0,
label_4,M3_expansion,8.0,1,5.408
label_2,M3_expansion,10.0,0,
label_3,M3_expansion,10.0,0,
label_4,M3_expansion,10.0,1,5.408
label_2,M4_wall_flux,3.0,0,
label_3,M4_wall_flux,3.0,0,
label_4,M4_wall_flux,3.0,0,
label_2,M4_wall_flux,5.0,0,
label_3,M4_wall_flux,5.0,0,
label_4,M4_wall_flux,5.0,0,
label_2,M4_wall_flux,6.0,0,
label_3,M4_wall_flux,6.0,0,
label_4,M4_wall_flux,6.0,0,
label_2,M4_wall_flux,8.0,0,
label_3,M4_wall_flux,8.0,0,
label_4,M4_wall_flux,8.0,0,
label_2,M4_wall_flux,10.0,0,
label_3,M4_wall_flux,10.0,0,
label_4,M4_wall_flux,10.0,0,
