group,n_gt,n_pred,tol_mm,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score
M1_frangi,3,0,3.0,0,0,3,0.0,0.0,0.0,,,,0.0
M1_frangi,3,0,5.0,0,0,3,0.0,0.0,0.0,,,,0.0
M1_frangi,3,0,6.0,0,0,3,0.0,0.0,0.0,,,,0.0
M1_frangi,3,0,8.0,0,0,3,0.0,0.0,0.0,,,,0.0
M1_frangi,3,0,10.0,0,0,3,0.0,0.0,0.0,,,,0.0
M2_band_connect,3,1,3.0,0,1,3,0.0,0.0,0.0,,,,0.0
M2_band_connect,3,1,5.0,0,1,3,0.0,0.0,0.0,,,,0.0
M2_band_connect,3,1,6.0,0,1,3,0.0,0.0,0.0,,,,0.0
M2_band_connect,3,1,8.0,0,1,3,0.0,0.0,0.0,,,,0.0
M2_band_connect,3,1,10.0,0,1,3,0.0,0.0,0.0,,,,0.0
M3_expansion,3,4,3.0,0,4,3,0.0,0.0,0.0,,,,0.0
M3_expansion,3,4,5.0,0,4,3,0.0,0.0,0.0,,,,0.0
M3_expansion,3,4,6.0,1,3,2,0.25,0.3333,0.2857,5.408,5.408,5.408,0.0986
M3_expansion,3,4,8.0,1,3,2,0.25,0.3333,0.2857,5.408,5.408,5.408,0.324
M3_expansion,3,4,10.0,1,3,2,0.25,0.3333,0.2857,5.408,5.408,5.408,0.4592
M4_wall_flux,3,0,3.0,0,0,3,0.0,0.0,0.0,,,,0.0
M4_wall_flux,3,0,5.0,0,0,3,0.0,0.0,0.0,,,,0.0
M4_wall_flux,3,0,6.0,0,0,3,0.0,0.0,0.0,,,,0.0
M4_wall_flux,3,0,8.0,0,0,3,0.0,0.0,0.0,,,,0.0
M4_wall_flux,3,0,10.0,0,0,3,0.0,0.0,0.0,,,,0.0
