cluster_id,n_k_seen,n_k_total,persistence,k_values,x_mm,y_mm,z_mm,spread_mm,median_radius_mm
14,5,6,0.833,2 2.5 3 3.5 4,17.09,39.26,-1053.8,0.71,0.96
9,5,6,0.833,1.5 2 2.5 3 3.5,22.09,29.1,-1030.44,0.0,0.56
2,5,6,0.833,1.5 2 2.5 3 3.5,21.94,35.35,-994.6,0.89,0.97
7,4,6,0.667,1.5 2 2.5 3,10.56,35.35,-1052.64,3.92,0.66
18,4,6,0.667,2.5 3 3.5 4,19.36,28.9,-1013.24,3.87,0.47
12,4,6,0.667,1.5 2 2.5 3,20.92,34.96,-974.84,2.08,0.76
5,3,6,0.5,1.5 2 4,19.75,27.79,-1058.17,2.93,0.78
17,3,6,0.5,2.5 3 3.5,11.15,35.35,-1039.77,0.53,0.74
3,3,6,0.5,1.5 2 2.5,8.02,33.01,-988.57,3.17,0.84
8,2,6,0.333,1.5 2,18.18,26.75,-1022.44,0.0,0.59
1,2,6,0.333,1.5 2,16.23,29.88,-977.24,0.56,1.91
21,2,6,0.333,3.5 4,11.14,43.17,-971.64,0.4,0.48
11,2,6,0.333,1.5 3,18.57,31.44,-968.44,1.48,0.64
16,1,6,0.167,2,9.58,36.13,-1058.44,0.0,0.34
20,1,6,0.167,3.5,19.75,27.53,-1044.84,0.0,0.72
4,1,6,0.167,1.5,8.8,34.57,-1020.04,0.0,0.78
13,1,6,0.167,1.5,11.93,27.53,-1010.44,0.0,0.06
15,1,6,0.167,2,10.36,36.92,-1002.44,0.0,0.39
6,1,6,0.167,1.5,16.62,29.88,-987.24,0.0,0.6
10,1,6,0.167,1.5,7.24,37.7,-977.64,0.0,0.5
22,1,6,0.167,4,13.49,45.52,-960.04,0.0,0.59
19,1,6,0.167,2.5,20.53,35.35,-959.24,0.0,0.17
