k_sd,instance_id,cluster_id,ostium_x_mm,ostium_y_mm,ostium_z_mm,seed_x_mm,seed_y_mm,seed_z_mm,dir_x,dir_y,dir_z,radius_mm
1.5,branch_002,1,38.68,-153.82,408.5,34.65,-155.64,410.84,-0.8055,-0.3637,0.4679,2.083
1.5,branch_003,2,14.68,-159.82,401.0,17.38,-159.35,396.81,0.5386,0.0936,-0.8374,2.013
1.5,branch_001,3,20.68,-168.82,413.0,19.54,-166.41,408.77,-0.2278,0.4816,-0.8463,1.787
1.5,branch_004,4,28.18,-164.32,333.5,29.49,-167.1,329.56,0.2622,-0.5564,-0.7884,1.455
2.0,branch_002,1,37.18,-153.82,407.0,33.11,-155.21,409.55,-0.8141,-0.278,0.5099,1.772
2.0,branch_003,2,14.68,-159.82,401.0,17.32,-159.32,396.78,0.5275,0.0995,-0.8437,1.893
2.0,branch_001,3,20.68,-168.82,413.0,19.48,-166.39,408.8,-0.2408,0.4855,-0.8404,1.997
2.0,branch_004,4,28.18,-164.32,333.5,29.54,-167.04,329.53,0.2707,-0.5446,-0.7938,1.438
2.0,branch_005,5,28.18,-149.32,372.5,29.65,-149.32,377.28,0.2934,0.0,0.956,1.5
2.0,branch_006,6,20.68,-155.32,351.5,20.68,-155.32,356.5,0.0,0.0,1.0,1.5
2.5,branch_003,1,38.68,-153.82,407.0,34.62,-155.31,409.51,-0.8121,-0.2979,0.5017,2.174
2.5,branch_004,2,14.68,-159.82,401.0,17.15,-159.2,396.69,0.4929,0.1233,-0.8613,2.128
2.5,branch_002,3,20.68,-168.82,413.0,19.55,-166.38,408.78,-0.2253,0.488,-0.8433,2.023
2.5,branch_005,4,29.68,-165.82,335.0,31.08,-168.45,330.98,0.2798,-0.526,-0.8032,1.686
2.5,branch_006,5,28.18,-149.32,372.5,29.46,-149.6,377.32,0.2554,-0.0574,0.9651,1.303
2.5,branch_007,6,20.68,-155.32,350.0,20.68,-155.32,355.0,0.0,0.0,1.0,1.333
2.5,branch_008,7,22.18,-155.32,359.0,20.46,-157.04,363.37,-0.3442,-0.3442,0.8735,1.5
2.5,branch_001,8,25.18,-150.82,366.5,20.77,-153.15,366.89,-0.8814,-0.4658,0.0785,0.711
2.5,branch_009,9,31.18,-144.82,396.5,30.05,-145.38,401.34,-0.2255,-0.1128,0.9677,
2.5,branch_010,10,10.18,-162.82,410.0,10.18,-162.82,415.0,0.0,0.0,1.0,
